courseId,id,title,description,state,maxPoints,workType,topicId,creationTime,updateTime,dueDate_year,dueDate_month,dueDate_day,dueTime_hours,dueTime_minutes,alternateLink
course_pharm_02,cw_pharm_midterm,Pharm II Midterm Exam,Pharmacology II midterm examination covering cardiac respiratory renal GI and endocrine pharmacology. 50 multiple-choice questions and 2 short answer.,PUBLISHED,100,ASSIGNMENT,topic_pharm_midterm,2026-09-01T09:00:00Z,2026-10-20T14:00:00Z,2026,11,19,14,0,https://classroom.google.com/c/course_pharm_02/a/cw_pharm_midterm
course_pharm_02_spring,cw_pharm_midterm_old,Pharm II Midterm Exam,Pharmacology II midterm examination from prior semester. Retained for reference.,ARCHIVED,100,ASSIGNMENT,topic_pharm_old,2026-01-15T09:00:00Z,2026-03-10T14:00:00Z,2026,11,17,14,0,https://classroom.google.com/c/course_pharm_02_spring/a/cw_pharm_midterm_old
course_pharm_02,cw_pharm_quiz_01,Week 3 Med Math Quiz,Dosage calculation quiz covering metric conversions IV drip rates and weight-based dosing.,PUBLISHED,10,QUIZ,topic_pharm_quizzes,2026-09-15T09:00:00Z,2026-09-21T08:00:00Z,2026,9,21,9,0,https://classroom.google.com/c/course_pharm_02/a/cw_pharm_quiz_01
course_medsurg_02,cw_ms_assessment,Head-to-Toe Assessment Video,Record and submit a video demonstration of a complete head-to-toe assessment on a standardized patient. Include verbalization of findings.,PUBLISHED,100,ASSIGNMENT,topic_ms_assessment,2026-09-20T09:00:00Z,2026-10-05T23:00:00Z,2026,10,5,23,59,https://classroom.google.com/c/course_medsurg_02/a/cw_ms_assessment
course_medsurg_02,cw_ms_careplan,Care Plan: CHF Patient,Develop a comprehensive nursing care plan for a patient with congestive heart failure including assessment diagnoses interventions and evaluation criteria.,PUBLISHED,100,ASSIGNMENT,topic_ms_careplan,2026-09-25T09:00:00Z,2026-10-19T22:00:00Z,2026,10,19,23,59,https://classroom.google.com/c/course_medsurg_02/a/cw_ms_careplan
course_medsurg_02,cw_ms_midterm,Med-Surg Midterm,Medical-Surgical Nursing II midterm examination covering perioperative care fluid and electrolytes and endocrine disorders.,PUBLISHED,100,ASSIGNMENT,topic_ms_midterm,2026-10-01T09:00:00Z,2026-11-12T09:00:00Z,2026,11,12,10,0,https://classroom.google.com/c/course_medsurg_02/a/cw_ms_midterm
course_community_03,cw_comm_paper,Community Assessment Paper,Write a comprehensive community assessment paper for an assigned neighborhood including demographic data community resources and identified health needs.,PUBLISHED,100,ASSIGNMENT,topic_comm_assessment,2026-09-20T09:00:00Z,2026-10-26T22:00:00Z,2026,10,26,23,59,https://classroom.google.com/c/course_community_03/a/cw_comm_paper
course_community_03,cw_comm_reflection,Flu Clinic Reflection,Write a 2-page reflection on your experience at the campus flu vaccination clinic. Discuss patient interaction and public health principles.,PUBLISHED,25,ASSIGNMENT,topic_comm_clinic,2026-10-15T09:00:00Z,2026-11-02T22:00:00Z,2026,11,2,23,59,https://classroom.google.com/c/course_community_03/a/cw_comm_reflection
course_research_04,cw_research_proposal,Research Proposal Draft,Submit a 5-page research proposal on a nursing topic of your choice including literature review research question methodology and timeline.,PUBLISHED,100,ASSIGNMENT,topic_research_proposal,2026-09-10T09:00:00Z,2026-10-12T22:00:00Z,2026,10,12,23,59,https://classroom.google.com/c/course_research_04/a/cw_research_proposal
course_research_04,cw_research_litreview,Literature Review Table,Create a synthesis table of 10 peer-reviewed articles related to your research topic. Include purpose sample design findings and level of evidence.,PUBLISHED,50,ASSIGNMENT,topic_research_litreview,2026-10-01T09:00:00Z,2026-11-09T22:00:00Z,2026,11,9,23,59,https://classroom.google.com/c/course_research_04/a/cw_research_litreview
course_patho_05,cw_patho_quiz,Patho II Quiz 3: Cardiac,Quiz on cardiac pathophysiology including heart failure coronary artery disease and valvular disorders.,PUBLISHED,10,QUIZ,topic_patho_quizzes,2026-09-25T09:00:00Z,2026-10-14T08:30:00Z,2026,10,14,9,30,https://classroom.google.com/c/course_patho_05/a/cw_patho_quiz
course_patho_05,cw_patho_casestudy,Patho II Case Study: DKA,Analyze a case study of diabetic ketoacidosis including pathophysiological mechanisms lab interpretation and nursing interventions.,PUBLISHED,50,ASSIGNMENT,topic_patho_casestudy,2026-10-01T09:00:00Z,2026-11-04T22:00:00Z,2026,11,4,23,59,https://classroom.google.com/c/course_patho_05/a/cw_patho_casestudy
